,info
8084,"alle Aspekte zum Tiermanagement beaufsichtigen, Beaufsichtigung aller Aspekte des Tiermanagements."
8085,"Holz färben, Mischen des Farbpulvers mit Wasser und/oder Flüssigfarbstoff und anderen notwendigen Zutaten, um die gewünschte Farbe zu erzielen, Auftragen auf das Holz."
8086,"Lagerung unter Luftabschluss, Lagerung unter Luftabschluss zur Verhinderung des Eindringens oder Entweichens von Luft oder Gas, um das Eindringen von Feuchtigkeit und Ungeziefer zu erschweren."
8087,"Wartung von Maschinen zur Herstellung von Schuhwerk, Der Aufbau und die Funktionsweise der verschiedenen Maschinen zur Herstellung von Schuhwerk; Fehleranalyse, Reparaturprozesse und Komponenten-/Teiletausch sowie routinemäßiges Schmieren, vorbeugende und korrektive Instandhaltung und Überprüfung der Funktionsbedingungen und der Leistung. "
8088,"Zapfluftsysteme installieren, Anbringen von Enteisungssystemen, bei denen das Flugzeug mittels Druckluft aus den Kompressoren ganz oder teilweise enteist wird."
8089,"Arten von Tapeten, Verschiedene Arten von Tapeten wie Textil- und Nicht-Textil-Tapeten, Glasfasertapeten und Mustertapete und die Tapezierverfahren."
8090,"Schiffe steuern, Navigieren von Schiffen, z. B. Kreuzfahrtschiffe, Fähren, Tankschiffe und Containerschiffe."
8091,"technische Grundkenntnisse zu Musikinstrumenten besitzen, Nachweis angemessener Grundkenntnisse der technischen Funktionsweise und der Terminologie von Musikinstrumenten und Gesang, z. B. Klavier, Gitarre und Schlagzeug."
8092,"eine Obduktion vornehmen, Öffnen von Verstorbenen und Entnahme von Organen zur Untersuchung, Deutung des Befunds anhand der klinischen Vorgeschichte."
8093,"Gewindewalzenbauteile, Verschiedene Teile einer Gewindewalze, wie die radiale und vertikale Walzkraft, die Profilfläche, die Warenbahn, die Ramme, der Sensor für die vertikale Walzkraft sowie die Qualitäten und Anwendungen dieser Teile."
8094,"Requisiten bereitstellen, Anordnen der Requisiten auf der Bühne zur Vorbereitung der Aufführung."
8095,"Lehrer und Ausbilder in E-Learning-Methoden schulen, Abhalten technischer Schulungen, u. a. zu E-Learning-Plattformen, Schulungsanwendungen und Standards wie SCORM, Vermitteln von E-Teaching-Methoden an Lehrkräfte oder Ausbilder/-bilderinnen."
8096,"Trockner reinigen, Reinigen von Trocknern und Nachfüllen mit Aluminiumoxid."
8097,"Gesundheit und Sicherheit promoten, Engagement für ein sicheres Arbeitsumfeld. Anregung und Unterstützung von Mitarbeitern/Mitarbeiterinnen, sich aktiv an der kontinuierlichen Entwicklung eines sicheren Arbeitsumfelds zu beteiligen."
8098,"Informationskategorisierung, Der Prozess der Einstufung der Informationen in Kategorien und die Darstellung der Beziehungen zwischen den Daten für einige klar definierte Zwecke."
8099,"Schneeräumgeräte warten, Wartung von Geräten zum Entfernen von Eis und Schnee, Enteisen der Ausrüstung, Sicherstellen, dass die Geräte jederzeit einsatzbereit sind."
8100,"Papierrolle überwachen, Beaufsichtigen von Jumbo-Papierrollen, die das Papier bei exakter Spannung auf einen Kern aufwickeln."
8101,"geschriebenes Latein verstehen, Lesen und Verstehen von Texten in lateinischer Sprache."
8102,"Auktionshaus leiten, Management des täglichen Betriebs eines Auktionshauses. Organisation aller Tätigkeiten und Koordinierung der verschiedenen Abteilungen innerhalb eines Auktionshauses. Ausarbeitung eines Aktionsplans und Beschaffung der notwendigen Mittel."
8103,"Bogensehnen herstellen, Bestimmen der richtigen Sehnenlänge, je nach Bogen- und Sehnenstärke, Beschichten der Stränge mit Wachs oder Harz, Verzwirnen der Stränge zum Erhalt einer Sehne. Bei gewünschter Länge Formen von Schlaufen („Öhrchen“) an den Sehnenenden, Spannen der Sehne mit Gewichten. Schützen der Öhrchen und des Griffbereichs durch Wickelgarn, Anbringen des Nockpunkts aus Kunststoff oder Gummi."
8104,"Elektromaschinen produzieren, Beschaffung geeigneter Elektromaschinen für den Bergbau, Führen entsprechender Aufzeichnungen."
8105,"rechtsmedizinische Aufklärung, Verfahren und Methodik für die Sammlung und Analyse rechtsmedizinischer Erkenntnisse und Daten für Ermittlungszwecke."
8106,"Abläufe und Verfahren leiten, Prozessmanagement durch Festlegen, Messen, Kontrollieren und Verbessern der Prozesse mit dem Ziel, die Kundenanforderungen gewinnbringend zu erfüllen."
8107,"Messgeräte zusammenbauen, Montage der verschiedenen Bauteile von Messgeräten, wie Leiterplatten, Steuergeräte, Sensoren, Sender und Kameras, um Präzisionsgeräte herzustellen, die messen, übertragen, anzeigen, aufzeichnen und steuern können."
8108,"sicheres Verladen von Gütern gemäß Stauplan sicherstellen, Überwachen und Sicherstellen des sicheren und ungefährlichen Verladens von Materialien und Gütern gemäß dem Stauplan."
8109,"technische Berichte schreiben, Erstellung technischer Kundenberichte, die auch Laien verständlich sind."
8110,"Nutzer/Nutzerinnen von sozialen Diensten beim Leben im eigenen Heim unterstützen, Unterstützung der Nutzer/Nutzerinnen sozialer Dienste bei der Entwicklung eigener persönlicher Ressourcen, Mithilfe beim Zugang zu weiteren Ressourcen, Diensten und Einrichtungen."
8111,"Islam, Die Traditionen, Zeremonien und Geschichte des Islams sowie sein derzeitiges System."
8112,"die wichtigsten Prozesse der Rückverfolgbarkeitssysteme identifizieren, Identifizierung der verschiedenen Schlüsselprozesse, der Dokumentation und der Vorschriften für die Umsetzung und Überwachung der Rückverfolgbarkeit im Unternehmen. Analyse des Kosten-Nutzen-Verhältnisses von Rückverfolgbarkeitsprozessen.
   "
8113,"beim Umgang mit Kunstwerken beraten, Beratung und Anleitung anderer Museumsexperten/-expertinnen und -techniker/-technikerinnen zu Handhabung, Transport, Lagerung und Ausstellung von Artefakten entsprechend deren materiellen Eigenschaften."
8114,"Entwicklungen im Lebensmittelsektor verfolgen, Feststellung und Untersuchung von Entwicklungen und Innovationen bei den Technologien und Materialien in der Lebensmittelindustrie."
8115,"Kalksteinfluss steuern, Steuerung der Kalksteinmenge im Ofen, durch rheostatgesteuerte Regelung des Durchflussmenge."
8116,"Generatoren einrichten, Installation und Betrieb von Generatoren zur Energieversorgung gemäß den Vorgaben und Vorschriften."
8117,"Biologie, Gewebe, Zellen und Funktionen von Pflanzen- und tierischen Organismen und ihre wechselseitigen Abhängigkeiten und Wechselwirkungen untereinander sowie mit der Umwelt."
8118,"Teleskope bedienen, Einrichtung und Anpassung der Teleskope zur Untersuchung von Phänomenen und Objekten außerhalb der Erdatmosphäre."
8119,"Medizin unterrichten, Mitwirkung am Ausbildungsprozess durch Tätigkeiten wie das Halten von Vorlesungen.
   "
8120,"umweltfreundliche Materialien nutzen, Arbeiten mit umweltfreundlichen Materialien, wie Lacken auf Wasserbasis oder formaldehydfreien Klebstoffen."
8121,"Ausstellungsentwürfe überwachen, Besuch von Galerien und Museen, um Exponate und Ausstellungen zu studieren."
8122,"Gewebe gestalten, Gestaltung und Entwicklung von Struktur- und Farbeffekten bei Stoffen mittels Webtechnik."
8123,"gesprochenes Bulgarisch verstehen, Mündlich zum Ausdruck gebrachtes Bulgarisch verstehen."
8124,"Milchviehproduktion, Verständnis der Lebenszyklen des Tieres in Bezug auf die Milcherzeugung und die fachlichen und wirtschaftlichen Aspekte der Milcherzeugung."
8125,"Geowissenschaft, Die Wissenschaft, die sich mit der Erforschung des Planeten Erde befasst, einschließlich Geologie, Meteorologie, Ozeanografie und Astronomie. Dazu gehören auch die Zusammensetzung, die Strukturen und die Prozesse der Erde."
8126,"Einfuhrstrategien anwenden, Befolgung und Umsetzung von Einfuhrstrategien entsprechend der Größe des Unternehmens, der Art seiner Produkte, der Fachkenntnisse und der Geschäftsbedingungen an den internationalen Märkten. Klärung verfahrenstechnischer und strategischer Fragen, Einbeziehung von Zollagenturen und Zollspediteuren."
8127,"Zeitplan für Sendeprogramme entwickeln, Aufstellen eines Programms an Fernseh- und Radiosendungen. Aufteilen der Sendezeit auf die einzelnen Programme."
8128,"digitale Bildverarbeitung, Die verschiedenen Aspekte und Verfahren der Bildverarbeitung und -manipulation wie Bildinterpolation, Aliasing, Bildverbesserung, Kontraststreckung, Histogrammverarbeitung und -entzerrung, Singulärwertzerlegung und -entzerrung, Wavelets-Filterung und viele andere.
   "
8129,"Snacks verkaufen, Verkauf von Snacks und Getränken, wie Chips, Popcorn, Eis und Erfrischungsgetränken oder Bier, in Kinos oder anderen Vergnügungsstätten."
8130,"gute Diktion pflegen, Klares und deutliches Sprechen, damit andere genau verstehen, was gesagt wird. Präzise und fehlerfreie Aussprache von Wörtern, damit keine Missverständnisse auftreten."
8131,"Überholungsarbeiten an Verglasungen durchführen, Überholen und Austauschen von Scheiben und Fenstern."
8132,"Verfahren der Weiterleitung an übergeordnete Stellen durchführen, Beurteilen von Situationen, in denen keine sofortige Lösung möglich ist, Weiterleiten an die nächste Instanz."
8133,"Industrieanlagen prüfen, Prüfung von industriell genutzter Ausrüstung, wie Produktions- oder Baumaschinen, um sicherzustellen, dass die Ausrüstung den Gesundheits-, Sicherheits- und Umweltschutzvorschriften entspricht."
8134,"Datenbanken für Frachtsätze einrichten, Entwicklung und Pflege von Frachtsatzdatenbanken, mit der die Logistikabteilungen die kostengünstigsten Beförderungsmöglichkeiten ermitteln und beauftragen können.
	"
8135,"Verbraucherrecht, Das Rechtsgebiet, das die Beziehung zwischen Verbrauchern und Unternehmen regelt, die Waren oder Dienstleistungen bereitstellen, einschließlich Verbraucherschutz und Bestimmungen zu vorschriftswidrigen Geschäftspraktiken."
8136,"postnatale Betreuung leisten, Betreuung von Mutter und Neugeborenem nach der Geburt, Sicherstellen, dass beide gesund sind und die Mutter in der Lage ist, sich um ihr Kind zu kümmern."
8137,"Prinzipien der Bewässerung, Methoden, Grundsätze und Systeme zur Versorgung von Landflächen oder Anbaupflanzen mit Wasser durch Rohrleitungen, Sprinkler, Gräben oder Bäche."
8138,"Ressourcen von Community-Art-Programmen evaluieren, Identifizieren der geistigen, theoretischen oder materiellen Ressourcen und Mittel, die für die Entwicklung Ihrer Mediationspraxis zur Verfügung stehen. Ermitteln, welche Unterstützung durch Künstler/Künstlerinnen, Fachleute (Physiotherapeuten/-therapeutinnen, Ärzte/Ärztinnen usw.), Hilfsarbeiter/-arbeiterinnen usw. gebraucht wird. Bestimmen, welche Hilfe im administrativen Bereich nötig ist, Planen, welche Aufgaben ausgelagert werden können."
8139,"Playlists erstellen, Unter Beachtung der Anforderungen und des Zeitrahmens Zusammenstellen einer Liste von Liedern, die im Rahmen einer Sendung oder Aufführung gespielt werden."
8140,"Glasdicke beibehalten, Erzeugen von Glas in der vorgegebenen Dicke durch Anpassung der Drehgeschwindigkeit im Ofen."
8141,"Patienten/Patientinnen verlegen, Verbringung von Patienten/Patientinnen in und aus Rettungswagen, Krankenhausbetten, Rollstühlen usw. auf bestmögliche Weise."
8142,"strategische Planung, Die Elemente, die die Grundlage und den Kern einer Organisation definieren, wie etwa ihr Auftrag, ihre langfristige Vorstellung, ihre Werte und ihre Ziele."
8143,"elastische Bodenbeläge schneiden, Zuschnitt nach Plan von elastischen Bodenbelägen, wie Vinyl, Linoleum oder Kork, mithilfe eines scharfen Messers. Ausführen gerader Schnitte ohne Beschädigung des Materials oder der Umgebung."
8144,"reproduktive Gesundheit, Die Fortpflanzungsprozesse, die Funktionen und das System in allen Lebensphasen unter sicheren und legalen Bedingungen, Schwangerschaft und Entbindung, moderne Verhütung, sexuell übertragbare Krankheiten und Genitalverstümmelung bei Frauen."
8145,"mit Gartenbaugeräten arbeiten, Verwenden von Gartenbaugeräten, Mithilfe bei deren Pflege. Sicherstellen vor Arbeitsbeginn, dass Fahrzeuge verkehrstauglich sind."
8146,"Unkraut bekämpfen, Durchführen von Maßnahmen zur Bekämpfung von Unkraut und Krankheiten bei Nutzpflanzen im Einklang mit den Anforderungen der nationalen Branchenstandards und der Kunden und Kundinnen."
8147,"kreative Komponenten festlegen, Ermittlung von Inspirationsquellen und Stärken. Ermittlung des Themas der Kunstproduktion. Ermittlung des Inhalts. Ermittlung kreativer Faktoren, wie Künstler und Musik."
8148,"Kommunikation zwischen Schiff und Landseite durchführen, Bedienung von Funkgeräten für die Kommunikation zwischen Schiff und Land, Übermittlung von Informationen, die für den Schiffsbetrieb erforderlich sind."
8149,"Teilnehmerliste überprüfen, Überprüfen, ob die Veranstaltungsbesucher/-besucherinnen auf der Teilnehmerliste stehen, damit niemand unbefugt Zutritt erhält."
8150,"mit Kindern spielen, Beschäftigen von Kindern mit altersgerechten Aktivitäten, die den Kindern Freude bereiten. Unterhalten von Kindern auf kreative und improvisierte Weise, z. B. durch Basteln, Bewegungs- oder Brettspiele."
8151,"mit Ingenieuren zusammenarbeiten, Enge Zusammenarbeit und Kommunikation mit Ingenieuren/Ingenieurinnen in Bezug auf Entwürfe oder neue Produkte."
8152,"Mitgliederarbeit koordinieren, Interne Koordinierung der Mitgliederarbeit, z. B. Aufsicht über die Umsetzung effizienter Mitgliedschaftsverfahren, Systeme und Strategien, Sicherstellen, dass die diesbezüglichen Informationen stimmen und aktuell sind."
8153,"Kunstmarkt beobachten, Schätzen des Werts und Preises von Kunstwerken; laufendes Beobachten des Kunstmarkts, um Trends oder plötzliche Preisänderungen zu entdecken; Feststellen, welche Kunstrichtungen sich über einen bestimmten Zeitraum hinweg gut verkaufen."
8154,"pharmazeutische Verfahren, Die Techniken, Grundsätze und Verfahren, die sich mit der Herstellung und dem Mischen von pharmazeutischen Inhaltsstoffen und Erzeugnissen wie Aspirin, antiviralen Arzneimitteln und anderen Arten von Arzneimitteln befassen."
8155,"Kunden und Kundinnen bei der Auswahl von Musik- und Videoaufnahmen Hilfestellung leisten, Beratung von Kunden/Kundinnen in Musik- und Videogeschäften; Empfehlen von CDs und DVDs entsprechend den jeweiligen Kundenvorlieben dank fundierter Kenntnisse von Genres und Stilrichtungen."
8156,"Sicherheitsgefahren an Flughäfen ermitteln, Erkennung von Bedrohungen der Sicherheit an Flughäfen, rasches, sicheres und effizientes Eingreifen zur Abwehr der Gefahren."
8157,"Abläufe von Reisebuchungen, Die verschiedenen Schritte, aus denen sich ein Buchung für Reisezwecke zusammensetzt, ihre Ausführung und etwaige weitere relevante Maßnahmen."
8158,"Studierende bei der Dissertation betreuen, Unterstützung von Studierenden beim Schreiben von Abschluss- oder Doktorarbeiten. Beratung zu Recherchemethoden oder zu Ergänzungen in manchen Dissertationskapiteln. Rückmeldung an die Studierenden zu unterschiedlichen Fehlern, z. B. Forschungs- oder Methodikfehlern."
8159,"Personen befragen, Befragung von Personen in einer Weise, dass sie untersuchungsrelevante Informationen preisgeben, die sie möglicherweise für sich behalten wollten."
8160,"Iridologie, Eine Behandlung mit alternativen Arzneimitteln, die auf dem Gedanken beruht, dass die Muster und anderen Merkmale der Iris den gesamten Körper abbilden und somit die physischen, geistigen oder emotionalen Gesundheitsbeschwerden durch die Betrachtung der Iris wahrgenommen werden können."
8161,"Wassertransferdruckverfahren anwenden, Übertragung von gedruckten Beschichtungen oder Dekoren von einer Folie auf eine Metalloberfläche. Dazu wird das Werkstück in ein Dipper-Tauchbecken getaucht, das mit Wasser einer Temperatur von 30 bis 33 Grad Celsius gefüllt ist, auf dessen Oberfläche der Dekorfilm schwimmt."
8162,"mit technischen Mitarbeitern/Mitarbeiterinnen einer künstlerischen Produktion zusammenarbeiten, Koordinieren der künstlerischen Aktivitäten mit Fachleuten für die technische Seite des Projekts. Erläutern der Pläne und Methoden gegenüber den technischen Mitarbeitern/Mitarbeiterinnen, Einholen von Rückmeldungen zu Durchführbarkeit, Kosten, Verfahren und anderen relevanten Informationen. Verstehen von Vokabular und Praktiken rund um technische Fragen."
8163,"Maschinen zum Mahlen von Pflanzen beaufsichtigen, Betrieb von Maschinen zum Mahlen von Pflanzen, sodass deren Duft und Aroma erhalten bleiben."
8164,"Muster für Schuhwerk vorbereiten, Erstellen, Testen und Verifizieren von Prototypen oder Mustern von Schuhen anhand vordefinierter Kriterien in allen Phasen des Herstellungsprozesses. Überarbeiten der ersten Designkonzepte und Durchsetzen technischer Verbesserungen."
8165,"Verarbeitung von Ölsaaten, Verarbeitung von Ölsaaten, von der Reinigung und dem Schälen der öligen Saat über die Zerkleinerung, Konditionierung und Erhitzung bis hin zur Filterung und Neutralisierung."
8166,"Fabrikationsmethoden für Kostüme festlegen, Bestimmen der Methoden und Techniken zur Anfertigung von Kostümen."
8167,"IuK-Projektmanagement, Die Methoden für die Planung, Durchführung, Überprüfung und Weiterverfolgung von IKT-Projekten, z. B. Entwicklung, Integration, Veränderung und Verkauf von IKT-Produkten und -Dienstleistungen, sowie Projekte, die technologische Innovation auf dem Gebiet der IKT betreffen."
8168,"sich mit dem Herausgeber beraten, Rücksprache mit dem Herausgeber von Büchern, Magazinen, Zeitschriften oder anderen Veröffentlichungen bezüglich der Erwartungen, Anforderungen und Fortschritte."
8169,"alternative Stromversorgungsstrategien entwickeln, Entwicklung und Umsetzung von Strategien, die bei Störungen während der Erzeugung, Übertragung oder Verteilung elektrischer Energie, z. B. Stromausfall oder sprunghafter Anstieg des Strombedarfs, ein rasches und wirksames Handeln ermöglichen."
8170,"Foniatrie, Untersuchung der Ursachen und Behandlung verschiedener Fehlfunktionen der Stimmbänder, des Kehlkopfes (z. B. Kehlkopfkrebs), des Mundes oder der Lunge, die meist zu Sprachstörungen führen."
8171,"psychologische Tests interpretieren, Deutung psychologischer Tests, um Rückschlüsse auf die Intelligenz, Leistungen, Interessen und Persönlichkeit des Patienten/der Patientin zu ziehen.
   "
8172,"Hafenbetrieb leiten, Umsetzung der Hafenstrategie, um genügend Einnahmen zu erwirtschaften und optimalen Kundendienst zu bieten."
8173,"Gebäudeheizungsanlagen, Moderne und traditionelle Heizsysteme mit Gas, Holz, Öl, Biomasse, Solarenergie und anderen erneuerbaren Energiequellen sowie die entsprechenden Energieeinsparungsgrundsätze."
8174,"Wanderfische kennzeichnen, Markieren von Wanderfischen per Hand mithilfe eines Markierungsgeräts, das mit Flüssigstickstoff funktioniert."
8175,"Tieradoptionen verwalten, Ermitteln von Personen, die sich ein Tier aus dem Tierasyl zulegen möchten, Hilfe beim Aussuchen des Tieres und beim Abwickeln der erforderlichen Unterlagen."
8176,"Schleifverfahren, Die verschiedenen Schleifverfahren (z. B. das gleichzeitige Schleifen mehrerer Werkstücke) sowie die verschiedenen Schleifpapiere für verschiedene Oberflächen."
8177,"Scale-up-Experimente im Bereich Produktherstellung steuern, Leitung von Scale-up-Prozessen und -Experimenten zur Entwicklung neuer Produkte oder zur Verbesserung bestehender Produkte, anschließende Übertragung auf die Hauptanlage."
8178,"Takelage instand halten, Überprüfen der Takelage vor dem Anbringen, Ausbessern nach Bedarf."
8179,"Fitness-Risikobewertung durchführen, Durchführung geeigneter Tests zur Einschätzung der funktionalen und körperlichen Fitness, einschließlich Vorsorgeuntersuchung und Risikoabschätzung (auf Basis anerkannter Protokolle und Methoden), bei gefährdeten oder erkrankten Kunden. Analyse der gewonnenen Informationen und Erkenntnisse."
8180,"Bildungsprogramme koordinieren, Planung und Koordinierung von Bildungs- und Informationsprogrammen, wie Workshops, Führungen, Vorträge und Kurse."
8181,"die Normen veterinärmedizinischer Kontrollen erfüllen, Befolgen der veterinärmedizinischen Kontrollnormen, Ergreifen geeigneter Gegenmaßnahmen bei Abweichungen."
8182,"Geschäftskunden konsultieren, Kommunikation mit den Kunden/Kundinnen eines Unternehmens oder Geschäftsprojekts, um neue Ideen einzubringen, Rückmeldung einzuholen und Lösungen für Probleme zu finden."
8183,"Fernerkundungstechnologie erforschen, Forschungsarbeit zur Entwicklung neuer Techniken und Geräte für die Fernerkundung."
8184,"strategisches Management umsetzen, Umsetzung einer Strategie für die Entwicklung und den Wandel des Unternehmens. Beim strategischen Management kümmert sich die Geschäftsleitung im Auftrag der Eigentümer um die Vorgabe und Verwirklichung der wichtigsten Ziele und Initiativen eines Unternehmens, ausgehend von den verfügbaren Ressourcen und einer Bewertung des internen und externen Geschäftsumfelds der Organisation."
8185,"Arbeit der Beschäftigten in der Fahrzeugwartung planen, Erstellen von Arbeitsplänen für die Beschäftigten in der Fahrzeugwartung. Planen und Zuteilen der Arbeiten, sodass Vereinbarungen und Fristen eingehalten werden."
8186,"Logistik leiten, Schaffung eines logistischen Rahmens für den Transport von Waren zu den Kunden und für die Entgegennahme von Retouren, Ausführung und Einhaltung der logistischen Prozesse und Leitlinien."
8187,"Düngermischanlage beschicken, Befüllen des Düngermischers mit trockenem Material aus dem Vorratsbehälter durch Betätigen des Hebels."
8188,"Druckausgabe kontrollieren, Überprüfung des Druckergebnisses mit verschiedenen Methoden, z. B. durch Sichtprüfung oder mithilfe eines Spektralfotometers oder Densitometers. Mögliche Probleme sind Fehlausrichtungen oder Farbschwankungen."
8189,"Vakuummaschinen bedienen, Bedienen und Überwachen von Maschinen zur Erzeugung eines luftleeren Raums, z. B. zwischen der inneren und äußeren Wandung bei Isolierflaschen."
8190,"besonderen Patientengruppen Pflege zuteilwerden lassen, Betreuung von Patienten/Patientinnen mit besonderen Eigenschaften, Bedürfnissen oder Merkmalen, wie Kinder, Senioren/Seniorinnen oder Menschen mit besonderen Bedürfnissen.
	"
8191,"Geräte für den Kabinendienst inspizieren, Überprüfen der Geräte für den Kabinendienst, wie Servierwagen und Bordverpflegungsausrüstung, sowie der Sicherheitsausrüstung, wie Rettungswesten, aufblasbare Rettungsflöße und Bordapotheke. Dokumentieren der Inspektionen in Logbüchern.
   "
8192,"Perücken entwerfen, Gestaltung und Pflege von Perücken und Haarteilen."
8193,"soziale Anleihen, Eine Reihe von Finanzinstrumenten, die darauf abzielen, Kapital für Projekte mit positiven sozialen Auswirkungen zu beschaffen, und die bei Erreichen bestimmter sozialpolitischer Ziele eine Rendite bieten. Soziale Anleihen werden in der Regel zur Finanzierung von Projekten in Bereichen wie erschwingliche Infrastrukturen, Zugang zu grundlegenden Dienstleistungen, Beschäftigungsprogramme, Ernährungssicherheit und nachhaltige Ernährungssysteme eingesetzt.
	"
8194,"körperliche Übungen für künstlerische Aufführungen absolvieren, Durchführen und erforderlichenfalls Vormachen von Übungen. Dabei sollen die Zielsetzung der Übungsstunde und das entsprechende Tempo erreicht sowie die künstlerischen Anforderungen mit den Grundsätzen der Risikoprävention vereinbart werden. Berücksichtigung der eigenen Fitness: Erschöpfung, Erholungsphasen, Ruhezeiten usw."
8195,"Beratung zur Erbringung von sozialen Dienstleistungen leisten, Beratung von Sozialeinrichtungen in Bezug auf die Entwicklung und Umsetzung von Plänen für die Erbringung sozialer Dienstleistungen, die Festlegung der Ziele sowie die Verwaltung von Ressourcen und Einrichtungen.
	"
8196,"Volksgesundheit, Die Grundsätze der Gesundheit und der Krankheit, die die Bevölkerung betreffen, einschließlich der Mittel für Gesundheitsförderung und Prävention sowie Versorgung innerhalb des gewohnten Lebensumfelds und medizinische Erstversorgung."
8197,"Produktmuster austeilen, Verteilen von Broschüren, Coupons, Produktproben; Entwickeln neuer Anreize, mit denen Kunden/Kundinnen zum Erwerb von Produkten/Dienstleistungen gebracht werden können."
8198,"Trainingswissenschaftliche Ansätze in die Entwicklung von Übungsprogrammen einbinden, Erarbeiten von Bewegungen und Übungen entsprechend den Funktionen des Muskel-Skelett-Systems und nach biomechanischen Grundsätzen. Entwicklung von Programmen unter Berücksichtigung von Physiologie, Herz-Kreislauf-Apparat und Energiesystem. 
 "
8199,"Ansprüche bei Versicherungsgesellschaften geltend machen, Stellen von Anträgen bei Versicherungsunternehmen in Schadensfällen, die durch die Versicherungspolice abgedeckt sind."
8200,"Mannschaft beaufsichtigen, Beaufsichtigen und Beobachten des Verhaltens der Beschäftigten."
8201,"natürliche Nahrungsressourcen, Der Standort, die Eigenschaften und die Zubereitung von sicheren und ess- bzw. trinkbaren Naturprodukten wie Obst, Pflanzen, Fleisch und Süßwasser oder wiederaufbereitetem Wasser."
8202,"strenge Arbeitsanweisungen für schienengleiche Bahnübergänge befolgen, Einhalten strikter Vorgaben für den Betrieb von Bahnübergängen, wie Bedienen von Leuchten, Alarmvorrichtungen und Signalvorrichtungen zur Verhütung von Unfällen. Bedienen der Vorrichtungen zum Heben und Senken der Schranken. Besondere Aufmerksamkeit bei Fahrzeugfolgen."
8203,"Risiken und Auswirkungen eines Entwurfs beurteilen, Bewertung der Risiken des Standorts oder der vorgeschlagenen Entwicklung, Beurteilung der Auswirkungen der Gesamtanlagengestaltung auf die endgültige Form, den Nutzen, die Instandhaltung und die Sicherheit der Nutzung."
8204,"Möglichkeiten zur Verbesserung von Prozessen erkennen, Ermittlung des Verbesserungspotenzials in Bezug auf die operative und finanzielle Leistungsfähigkeit."
8205,"Sprachtechnik, Die Geschichte und die Merkmale der Atem-, Stimm- und Sprechtechnik."
8206,"Setzmaschinen, Die verschiedenen Setzmaschinen. Dazu gehören Linotype-, Monotype- und Fotosetzmaschinen. Setzmaschinen werden für das Zusammenstellen von Buchstaben und Zeichen zu Streifen oder Zeilen verwendet."
8207,"therapeutische Massage, Massagetechniken zur Linderung von Schmerzen und anderer Symptome, die mit einer Reihe unterschiedlicher Erkrankungen verbunden sind."
8208,"Fitness-Kunden/Fitness-Kundinnen korrigieren, Beobachten der trainierenden Kunden/Kundinnen, Vorschlagen von Korrekturen und Anpassungen, damit Techniken und Abläufe (Haltung, Bewegungsradius, Kontrolle, Timing und Form) sicher und wirksam ausgeführt werden."
8209,"Nachspeisungen im Erstarrungsprozess berechnen, Berechnung des Materialschwunds beim Erstarren, Berücksichtigung bei der Gussformgestaltung. Umwandlung der berechneten Abweichungen und Abmessungen in genaue Toleranzen, sodass die Form größer ist als der Guss."
8210,"Grundlagen der Rechtsdurchsetzung vermitteln, Unterrichten von Studierenden in Theorie und Praxis der Rechtsdurchsetzung, insbesondere in Kursen über Straftatenverhütung, Unfalluntersuchung und Schusswaffengebrauch, damit die Studierenden eine berufliche Laufbahn in diesem Bereich einschlagen können."
8211,"Schmiedeverfahren, Die verschiedenen Prozesse der Metallformung beim Schmieden, z. B. Gesenkschmieden, Freiformschmieden, Präzisionsschmieden, Walzschmieden, Stauchen, Pressschmieden usw."
8212,"Stromversorgung von Straßenbahnanlagen sicherstellen, Gewährleisten der Stromversorgung der Oberleitung; Melden von Störungen oder Fehlfunktionen."
8213,"Qualifikationen der Schiffsmannschaft überprüfen, Überprüfen der Qualifikationen der Schiffsbesatzung und der Schiffsoffiziere gemäß den Vorschriften. Bestimmen, ob Passagiere oder Frachtladungen befördert werden."
8214,"Waldbesucher betreuen, Beantworten der Fragen von Campern/Camperinnen, Wanderern/Wanderinnen und Touristen/Touristinnen. Bereitstellen von Wegbeschreibungen."
8215,"Elektronik, Funktionsweise elektronischer Leiterplatten, Prozessoren, Chips und Computer-Hardware und -Software, einschließlich Programmierung und Anwendungen. Anwendung dieses Wissens, um sicherzustellen, dass ein reibungsloses Funktionieren der Elektronik gewährleistet ist."
8216,"Sedimente aus Lack entfernen, Herausfiltern von Ablagerungen aus Lack mithilfe einer Filterpresse."
8217,"Druckeingaben bearbeiten, Annahme und Erstbearbeitung von Eingangsdokumenten und Aufträgen für die Produktion von Druckerzeugnissen."
8218,"elektromechanische Systeme kalibrieren, Korrigieren und Einstellen der Zuverlässigkeit elektromechanischer Systeme durch Messen der Ausgabe und Vergleichen des Ergebnisses mit den Daten eines Referenzgeräts oder mit standardisierten Ergebnissen. Durchführung in regelmäßigen Abständen nach Herstellervorgabe."
8219,"computerunterstützt übersetzen, Bedienung von Software für die computergestützte Übersetzung (CAT) zur Erleichterung der Übersetzungsprozesse.
	"
8220,"Usability Engineering, Methoden zur Bewertung der Nutzerfreundlichkeit und zur Ableitung strukturierter Empfehlungen aus den Ergebnissen einer Gebrauchstauglichkeitsprüfung in Bezug auf die Bedürfnisse und Verhaltensweisen von Nutzern, um eine effizient und elegant Gestaltung der Benutzerschnittstelle zu erreichen."
